|Catálogo de nacionalidades de una página web de salud Federal||
id|codigo_pais|nacionalidad|clave_nacionalidad
1|101|NAMIBIANA|NAM
2|103|ANGOLESA|AGO
3|104|ARGELIANA|DZA
4|105|DE BENNIN|BEN
5|106|BOTSWANESA|BWA
6|107|BURUNDESA|BDI
7|108|DE CABO VERDE|CPV
8|109|COMORENSE|COM
9|110|CONGOLESA|COD
10|111|MARFILEÑA|COG
11|112|CHADIANA|TCD
12|113|DE DJIBOUTI|DJI
13|114|EGIPCIA|EGY
14|115|ETIOPE|ETH
15|116|GABONESA|GAB
16|117|GAMBIANA|GMB
17|118|GHANATA|GHA
18|119|GUINEA|GNB
19|120|GUINEA|GIN
20|121|GUINEA ECUATORIANA|GNQ
21|122|LIBIA|LBY
22|123|KENIANA|KEN
23|124|LESOTHENSE|LSO
24|125|LIBERIANA|LBR
25|127|MALAWIANA|MWI
26|128|MALIENSE|MLI
27|129|MARROQUI|MAR
28|130|MAURICIANA|MUS
29|131|MAURITANA|MRT
30|132|MOZAMBIQUEÑA|MOZ
31|133|NIGERINA|NER
32|134|NIGERIANA|NGA
33|135|CENTRO AFRICANA|CAF
34|136|CAMERUNESA|CMR
35|137|TANZANIANA|TZA
36|139|RWANDESA|RWA
37|140|DEL SAHARA|ESH
38|141|DE SANTO TOME|STP
39|142|SENEGALESA|SEN
40|143|DE SEYCHELLES|SYC
41|144|SIERRA LEONESA|SLE
42|145|SOMALI|SOM
43|146|SUDAFRICANA|ZAF
44|147|SUDANESA|SDN
45|148|SWAZI|SWZ
46|149|TOGOLESA|TGO
47|150|TUNECINA|TUN
48|151|UGANDESA|UGA
49|152|ZAIRANA|ZAR
50|153|ZAMBIANA|ZMB
51|154|DE ZIMBAWI|ZWE
52|201|ARGENTINA|ARG
53|202|BAHAMEÑA|BHS
54|203|DE BARBADOS|BRB
55|204|BELICEÑA|BLZ
56|205|BOLIVIANA|BOL
57|206|BRASILEÑA|BRA
58|207|CANADIENSE|CAN
59|208|COLOMBIANA|COL
60|209|COSTARRICENSE|CRI
61|210|CUBANA|CUB
62|211|CHILENA|CHL
63|212|DOMINICA|DMA
64|214|SALVADOREÑA|SLV
65|215|ESTADOUNIDENSE|USA
66|216|GRANADINA|VCT
67|217|GUATEMALTECA|GTM
68|218|BRITANICA|VGB
69|219|GUYANESA|GUY
70|220|HAITIANA|HTI
71|221|HONDUREÑA|HND
72|222|JAMAIQUINA|JAM
73|223|MEXICANA|MEX
74|224|NICARAGUENSE|NIC
75|225|PANAMEÑA|PAN
76|226|PARAGUAYA|PRY
77|227|PERUANA|PER
78|228|PUERTORRIQUEÑA|PRI
79|229|DOMINICANA|DOM
80|230|SANTA LUCIENSE|LCA
81|231|SURINAMENSE|SUR
82|232|TRINITARIA|TTO
83|233|URUGUAYA|URY
84|234|VENEZOLANA|VEN
85|299|AMERICANA|USA
86|301|AFGANA|AFG
87|303|DE BAHREIN|BHR
88|305|BHUTANESA|BTN
89|306|BIRMANA|BUR
90|307|NORCOREANA|PRK
91|308|SUDCOREANA|KOR
92|309|CHINA|CHN
93|310|CHIPRIOTA|CYP
94|311|ARABE|SAU
95|312|FILIPINA|PHL
96|313|HINDU|IND
97|314|INDONESA|IDN
98|315|IRAQUI|IRQ
99|316|IRANI|IRN
100|317|ISRAELI|ISR
101|318|JAPONESA|JPN
102|319|JORDANA|JOR
103|320|CAMBOYANA|KHM
104|321|KUWAITI|KWT
105|322|LIBANESA|LBN
106|323|MALASIA|MYS
107|324|MALDIVA|MDV
108|325|MONGOLESA|MNG
109|326|NEPALESA|NPL
110|327|OMANESA|OMN
111|328|PAKISTANI|PAK
112|329|DEL QATAR|QAT
113|330|SIRIA|SYR
114|331|LAOSIANA|LAO
115|332|SINGAPORENSE|SGP
116|334|TAILANDESA|THA
117|335|TAIWANESA|TWN
118|336|TURCA|TUR
119|337|NORVIETNAMITA|VNM
120|339|YEMENI|YEM
121|401|ALBANESA|ALB
122|403|ALEMANA|DEU
123|404|ANDORRANA|AND
124|405|AUSTRIACA|AUT
125|406|BELGA|BEL
126|407|BULGARA|BGR
127|408|CHECOSLOVACA|CSK
128|409|DANESA|DNK
129|410|VATICANA|VAT
130|411|ESPAÑOLA|ESP
131|412|FINLANDESA|FIN
132|413|FRANCESA|FRA
133|414|GRIEGA|GRC
134|415|HUNGARA|HUN
135|416|IRLANDESA|IRL
