Catálogo de países
id|codigo_pais|pais|clave_pais
1|101|NAMIBIA|NAM
2|103|ANGOLESA|AGO
3|104|ARGELIA|DZA
4|105|BENÍN|BEN
5|106|BOTSWANA|BWA
6|107|BURUNDI|BDI
7|108|CABO VERDE|CPV
8|109|COMORAS|COM
9|110|REPÚBLICA DEL CONGO|COD
10|111|REPÚBLICA DE MARFIL|COG
11|112|REPÚBLICA DE CHAD|TCD
12|113|YBUTI|DJI
13|114|EGIPTO|EGY
14|115|ETIOPÍA|ETH
15|116|GABÓN|GAB
16|117|GAMBIA|GMB
17|118|GHANA|GHA
18|119|GUINEA-BISSAU|GNB
19|120|GUINEA|GIN
20|121|GUINEA ECUATORIAL|GNQ
21|122|LIBIA|LBY
22|123|KENIA|KEN
23|124|LESOTO|LSO
24|125|LIBERIA|LBR
25|127|MALAWI|MWI
26|128|MALÍ|MLI
27|129|MARRUECOS|MAR
28|130|MAURICIO|MUS
29|131|MAURITANIA|MRT
30|132|MOZAMBIQUE|MOZ
31|133|NIGER|NER
32|134|NIGERIA|NGA
33|135|ÁFRICA CENTRAL|CAF
34|136|CAMERÚN|CMR
35|137|TANZANIA|TZA
36|139|RWANDA|RWA
37|140|SAHARA OCCIDENTAL|ESH
38|141|SANTO TOMÉ Y PRÍNCIPE|STP
39|142|SENEGAL|SEN
40|143|SEYCHELLES|SYC
41|144|SIERRA LEONA|SLE
42|145|SOMALIA|SOM
43|146|SUDAFRICA|ZAF
44|147|SUDÁN|SDN
45|148|ESUATINI|SWZ
46|149|TOGO|TGO
47|150|TÚNEZ|TUN
48|151|UGANDA|UGA
49|152|ZAIRE|ZAR
50|153|ZAMBIA|ZMB
51|154|ZIMBABUE|ZWE
52|201|ARGENTINA|ARG
53|202|BAHAMAS|BHS
54|203|BARBADOS|BRB
55|204|BELICE|BLZ
56|205|BOLIVIA|BOL
57|206|BRASIL|BRA
58|207|CANADÁ|CAN
59|208|COLOMBIA|COL
60|209|COSTA RICA|CRI
61|210|CUBA|CUB
62|211|CHILE|CHL
63|212|DOMINICA|DMA
64|214|EL SALVADOR|SLV
65|215|ESTADOS UNIDOS DE AMÉRICA|USA
66|216|GRANADA|VCT
67|217|GUATEMALA|GTM
68|218|ISLAS VIRGENES BRITÁNICAS|VGB
